R,R_12,modulation_depth,nuclear_zq_frequency,pair_contribution,intensity
1.0,22.96969696969697,2.627791705109608e-7,-60750.79007748783,-8.412830641166974e-9,0.9999999915871693
1.0,23.262626262626263,2.695644154100372e-7,-57743.84302361133,-7.086357320558619e-9,0.9999999929136427
1.0,23.555555555555557,2.764357097523916e-7,-54920.70036591207,-5.978478772345392e-9,0.9999999940215212
1.0,23.848484848484848,2.8339305113303997e-7,-52268.040137678036,-5.051895459216674e-9,0.9999999949481045
1.0,24.141414141414142,2.904364372899579e-7,-49773.65359405076,-4.275824648719534e-9,0.9999999957241753
1.0,24.434343434343436,2.975658660939735e-7,-47426.340138677304,-3.624851931381418e-9,0.999999996375148
1.0,24.727272727272727,3.047813355394932e-7,-45215.81327872976,-3.077982194740088e-9,0.9999999969220178
1.0,25.02020202020202,3.120828437359647e-7,-43132.61633686907,-2.617857399267764e-9,0.9999999973821426
1.0,25.31313131313131,3.1947038890001096e-7,-41168.04680813555,-2.230112989363433e-9,0.999999997769887
1.0,25.606060606060606,3.269439693482026e-7,-39314.08838759733,-1.9028489970165535e-9,0.999999998097151
1.0,25.8989898989899,3.3450358349037354e-7,-37563.34981401081,-1.626195704634949e-9,0.9999999983738043
1.0,26.19191919191919,3.4214922982346016e-7,-35909.009778361404,-1.3919570718368863e-9,0.9999999986080429
1.0,26.484848484848484,3.498809069258082e-7,-34344.767236224194,-1.1933179999787234e-9,0.999999998806682
1.0,26.77777777777778,3.576986134519035e-7,-32864.796541293756,-1.0246039392392456e-9,0.999999998975396
1.0,27.07070707070707,3.6560234812750735e-7,-31463.70688580474,-8.810833817534369e-10,0.9999999991189166
1.0,27.363636363636363,3.7359210974512554e-7,-30136.505593278795,-7.588054806836993e-10,0.9999999992411945
1.0,27.656565656565657,3.816678971598462e-7,-28878.564861256786,-6.544664384715244e-10,0.9999999993455335
1.0,27.949494949494948,3.898297092854338e-7,-27685.591597428982,-5.652994633450305e-10,0.9999999994347005
1.0,28.242424242424242,3.980775450907438e-7,-26553.60003270077,-4.889840419905191e-10,0.9999999995110159
1.0,28.535353535353536,4.064114035963565e-7,-25478.88682999163,-4.235710533086433e-10,0.9999999995764289
1.0,28.828282828282827,4.14831283871469e-7,-24458.00843857189,-3.6742088337112e-10,0.9999999996325791
1.0,29.12121212121212,4.233371850310034e-7,-23487.760471063175,-3.1915222033519927e-10,0.9999999996808477
1.0,29.414141414141415,4.3192910623288675e-7,-22565.1589043238,-2.775996312295532e-10,0.9999999997224004
1.0,29.707070707070706,4.4060704667555325e-7,-21687.422926719013,-2.417783676428484e-10,0.9999999997582216
1.0,30.0,4.493710055955879e-7,-20851.959273099972,-2.1085512879300382e-10,0.9999999997891449
1.292929292929293,1.0,3.7996532133118485e-6,-1.9361564518544716e8,-6.278173593218369e-7,0.9999993721826407
1.292929292929293,1.292929292929293,5.067395410944439e-7,-2.4529936352405015e8,-1.6985305384717691e-6,0.9999983014694616
1.292929292929293,1.5858585858585859,1.1226542048766968e-7,-2.824209125347089e8,-4.4752933899912403e-7,0.999999552470661
1.292929292929293,1.878787878787879,3.683474956560983e-8,-2.96518050292887e8,-4.818739879301023e-10,0.999999999518126
1.292929292929293,2.1717171717171717,1.669057184156351e-8,-2.85212033868471e8,-1.594142429073699e-10,0.9999999998405857
1.292929292929293,2.4646464646464645,9.829216907545996e-9,-2.5426694002685553e8,-2.02358582667238e-8,0.9999999797641418
1.292929292929293,2.757575757575758,7.087715777721956e-9,-2.13785254781367e8,-7.0699657430497245e-9,0.9999999929300343
1.292929292929293,3.0505050505050506,5.923697337251906e-9,-1.7274344510173082e8,-5.4469890561631475e-11,0.9999999999455301
1.292929292929293,3.3434343434343434,5.483566030862754e-9,-1.3636512533565092e8,-2.1806589559907194e-12,0.9999999999978193
1.292929292929293,3.6363636363636362,5.433007835950983e-9,-1.0648567006108868e8,-2.151013229592466e-8,0.9999999784898677
1.292929292929293,3.9292929292929295,5.623461199133127e-9,-8.295989248830841e7,-3.1769469062854142e-12,0.9999999999968231
1.292929292929293,4.222222222222222,5.981577034405525e-9,-6.4830913413227595e7,-2.0355664753128405e-9,0.9999999979644335
1.292929292929293,4.515151515151516,6.467761272970717e-9,-5.098228255852718e7,-8.690860848281877e-10,0.9999999991309139
1.292929292929293,4.808080808080808,7.0589453126341355e-9,-4.041364933972645e7,-1.4386448421260161e-8,0.9999999856135516
1.292929292929293,5.101010101010101,7.740779927369984e-9,-3.2318585228058446e7,-2.858806728834288e-8,0.9999999714119328
1.292929292929293,5.393939393939394,8.503827752374523e-9,-2.6078814000205494e7,-3.3993336490995995e-8,0.9999999660066635
1.292929292929293,5.686868686868687,9.341582861056816e-9,-2.123163382443196e7,-5.171546159963808e-9,0.9999999948284538
1.292929292929293,5.97979797979798,1.0249380361302623e-8,-1.743431584954492e7,-1.0564020238901286e-8,0.9999999894359798
1.292929292929293,6.2727272727272725,1.1223764613892748e-8,-1.4433603116078064e7,-2.7539889186176483e-12,0.999999999997246
1.292929292929293,6.565656565656566,1.226210594691525e-8,-1.204193372160029e7,-2.977383594192421e-9,0.9999999970226164
1.292929292929293,6.858585858585859,1.3362358273367419e-8,-1.0119707399190696e7,-6.106168202732403e-10,0.9999999993893832
1.292929292929293,7.151515151515151,1.4522899988664684e-8,-8.562338394164635e6,-4.179520619558361e-8,0.9999999582047938
1.292929292929293,7.444444444444445,1.5742425997765083e-8,-7.2908899003347745e6,-5.070605721360872e-8,0.9999999492939428
1.292929292929293,7.737373737373737,1.7019872246016665e-8,-6.245315410824757e6,-8.544364445263088e-11,0.9999999999145563
1.292929292929293,8.030303030303031,1.8354361580664656e-8,-5.379573006734171e6,-6.804403461202572e-8,0.9999999319559654
1.292929292929293,8.323232323232324,1.9745164020703472e-8,-4.658078733837619e6,-6.802490083814582e-8,0.9999999319750992
1.292929292929293,8.616161616161616,2.1191667016067317e-8,-4.0531173538562767e6,-8.078612450643455e-8,0.9999999192138755
1.292929292929293,8.909090909090908,2.269335279614924e-8,-3.54293956686817e6,-6.128872133272201e-8,0.9999999387112787
1.292929292929293,9.202020202020202,2.4249780855522025e-8,-3.110353796151432e6,-5.680140565406293e-11,0.9999999999431985
1.292929292929293,9.494949494949495,2.5860574231910986e-8,-2.74167636866081e6,-7.077088081612926e-8,0.9999999292291192
1.292929292929293,9.787878787878787,2.7525408629994947e-8,-2.4259431123745404e6,-3.5219941327720726e-9,0.9999999964780059
1.292929292929293,10.080808080808081,2.924400371218428e-8,-2.1543129487416837e6,-1.0571614258671852e-7,0.9999998942838574
